       obs         b3i           b4i  
	1	-0.20819	0.14746
	2	-0.20882	0.14912
	3	-0.20816	0.14970
	4	-0.20585	0.14936
	5	-0.20848	0.14834
	6	-0.21197	0.15224
	7	-0.20644	0.14878
	8	-0.20787	0.14987
	9	-0.20777	0.14884
	10	-0.21016	0.14913
	11	-0.20959	0.15599
	12	-0.20803	0.14957
	13	-0.21457	0.14984
	14	-0.20829	0.14966
	15	-0.20766	0.14964
	16	-0.20816	0.14958
	17	-0.20839	0.14977
	18	-0.21125	0.15116
	19	-0.20572	0.14756
	20	-0.20748	0.15020
	21	-0.20695	0.15058
	22	-0.20646	0.14995
	23	-0.21081	0.14834
	24	-0.20671	0.14978
	25	-0.20857	0.14798
	26	-0.20481	0.14861
	27	-0.20817	0.14960
	28	-0.21148	0.15192
	29	-0.20499	0.14857
	30	-0.21061	0.15043
	31	-0.20823	0.14934
	32	-0.19935	0.14528
